"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employee-info\employee-info.component.ts", "TypeScript", 36, 0, 0, 0, 7, 43
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employee.ts", "TypeScript", 7, 0, 0, 0, 0, 7
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employees\employees.component.css", "CSS", 0, 5, 0, 3, 1, 9
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employees\employees.component.html", "HTML", 0, 0, 25, 1, 6, 32
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employees\employees.component.spec.ts", "TypeScript", 23, 0, 0, 0, 6, 29
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employees\employees.component.ts", "TypeScript", 96, 0, 0, 2, 22, 120
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\home\home.component.css", "CSS", 0, 10, 0, 0, 4, 14
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\home\home.component.html", "HTML", 0, 0, 5, 0, 4, 9
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\home\home.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\home\home.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\job-navigator\job-navigator.component.css", "CSS", 0, 65, 0, 13, 12, 90
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\job-navigator\job-navigator.component.html", "HTML", 0, 0, 14, 0, 2, 16
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\job-navigator\job-navigator.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\job-navigator\job-navigator.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\navbar\navbar.component.css", "CSS", 0, 23, 0, 0, 6, 29
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\navbar\navbar.component.html", "HTML", 0, 0, 18, 2, 0, 20
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\navbar\navbar.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\navbar\navbar.component.ts", "TypeScript", 21, 0, 0, 0, 9, 30
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\profile.ts", "TypeScript", 7, 0, 0, 0, 0, 7
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\profile\profile.component.css", "CSS", 0, 59, 0, 8, 17, 84
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\profile\profile.component.html", "HTML", 0, 0, 102, 0, 25, 127
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\profile\profile.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\profile\profile.component.ts", "TypeScript", 157, 0, 0, 14, 31, 202
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\search-bar\search-bar.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\search-bar\search-bar.component.html", "HTML", 0, 0, 9, 0, 7, 16
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\search-bar\search-bar.component.spec.ts", "TypeScript", 23, 0, 0, 0, 6, 29
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\search-bar\search-bar.component.ts", "TypeScript", 30, 0, 0, 0, 15, 45
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\user.ts", "TypeScript", 6, 0, 0, 0, 1, 7
